Site,RFID Date,Julian RFID,Time,LEFT,RIGHT,RFID,OLD RFID,Mass (g),Wing Length,Blood sample,Feeder,Sex,Maturity at TOIC,Known history,Notes,Recap from pre-2015, Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
H,6/28/2015,179,,G/LB,R PT,0300027217,,,70,H80; H630,BOX B16_1 H,F,adult,"DIED,  found in nest, Egg  Bound Breeding 2018",,,,,BOX B29 H,,BOX B16-1 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/28/2015,179,,G/LG,R PT,030002BF3A,,,72,H79,BOX B16_1 H,M,adult,,,,,,,,BOX B16-1 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/28/2015,179,,R PT,G/Y,0300036594,,,68,H77,BOX B2 H,F,adult,,,,,,,BOX 1 H,BOX B2 H,N,N,N,Y,,N,N,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,,,Y-F1H 10/30,
H,6/28/2015,179,,R PT,G/Grey,030003371B,,,68.5,H78,BOX B12 H,M,adult,,,,,BOX B18 H,,BOX B32 H,BOX B12 H,N,N,N,N,,N,Y,N,N,,,,,,F1H 12/22/17,,,
H,6/29/2015,180,,G/Grey,R PT,030001E144,,,68.5,H102,BOX 27 H,F,adult,,,,,,,,BOX 27 H,N,N,N,N,,N,N,N,N,,,,,,,,Y-F4H 11/6,
H,6/29/2015,180,,G/O,R PT,030002A9C9,,,69,H100,BOX 17_2 H,F,adult,,,,,,,,BOX 17-2 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/29/2015,180,,G/Y,R PT,0300023A64,,,69,H101,BOX 17_3 H,F,adult,,,,,,,,BOX 17-3 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/30/2015,181,,R PT,LG/G,0700EE42A0,,,69,H122,BOX B32 H,F,adult,,,,,,,,BOX B32 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/30/2015,181,,R PT,LB/G,0700ED8DFA,,,70,H123,BOX B32 H,M,adult,,,,,,,,BOX B32 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/30/2015,181,,R PT,Black/G,0300023498,,,69,H124,BOX B26 H,F,adult,,,,,,,,BOX B26 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/30/2015,181,,R PT,O/G,0700EDF8BA,,,71,H125,BOX 43_2 H,F,adult,,,,,,,,BOX 43-2 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/30/2015,181,,R PT,Y/G,030001DB5E,,,68,H126,BOX 22 H,M,adult,,,,,,,,BOX 22 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/30/2015,181,,R PT,Grey/G,030003384A,,,69.5,H127,BOX B12 H,F,adult,,,,,,,,BOX B12 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/1/2015,182,,Black/G,R PT,030003BA94,,,68.5,H155,BOX 6 H,F,adult,,,,,,,,BOX 6 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/1/2015,182,,Grey/G,R PT,0700EE0945,,,69,H158,BOX 41 H,M,adult,,Adult,,,,,,BOX 41 H,N,N,N,N,,N,N,N,N,,,,,,,,Y-Feeder # not recorded 9/21/15,
H,7/1/2015,182,,LB/G,R PT,0700EDFF9E,,,65.5,H154,BOX B28 H,F,adult,,,,,,,,BOX B28 H,N,N,N,N,,N,N,Y,Y,,Y-HEAR 1,,,,,Y-F1H 12/26/2016,,
H,7/1/2015,182,,LG/G,R PT,0300022B1E,,,71,H153,BOX B28 H,M,adult,,Was mistakenly recorded as the female at BOX B21 H in 2016,,,,,BOX UNKNOWN,BOX B28 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/1/2015,182,,O/G,R PT,0700EDB6EA,,,71,H156,BOX 43_2 H,M,adult,,,,,,,BOX 43-1 H,BOX 43-2 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/1/2015,182,,Y/G,R PT,0700EE2C5B,030001A0E8,,67,"H157, H815",BOX 22 H,F,adult,,Detected at LOW array F2015/W16,,BOX 32 H,BOX 22 H,BOX 22 H,BOX 33 H,BOX 22 H,N,N,N,N,,N,Y,Y,Y,,Y-LEAR 8,,,,,,,
H,7/2/2015,183,,LG/LG,R PT,030001ED44,,,69,H172,BOX B18 H,F,adult,,,,,,,,BOX B18 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/2/2015,183,,R PT,LG/LB,03000223AD,,,70,H174,BOX 32 H,F,adult,,,,,,,BOX 33-1 H,BOX 32 H,N,N,Y,Y,,N,N,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,,Y- 11/21/2016 F3H,Y-F3 11/11,
H,7/2/2015,183,,S2540-39384/Y,R PT,0700EDE460,0700EDEFA0,,72,"H173, H803",BOX B18 H,M,adult,S banded as chick 2013 box 21,,,BOX B31 H,,,BOX B28 H,BOX B18 H,N,Y,Y,N,,N,Y,Y,Y,,Y-HEAR 1,,F0H 10/04,,F1H 12/06;,,,
H,7/2/2015,183,,S2540-39409/O,R PT,030002A7B9,,,70,H175,BOX 21 H,M,adult,S banded as chick 2013 box 11,,,,,,,BOX 21 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/4/2015,185,,R PT,LG/O,0700EDD584,,,71,H221,BOX 32 H,M,adult,,KILLED LATE 2015,,,,,,BOX 32 H,N,N,N,Y,,N,N,N,Y,,,,,,,,Y-F4H 11/6/15,
H,7/4/2015,185,,R PT,LG/Grey,0700EDAEC2,,,69,H222,BOX 10A H,M,adult,,,,,,,,BOX 10A H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/4/2015,185,,R PT,LG/Y,0700EE3490,,,69,H224,BOX 10A H,F,adult,,,,,,,,BOX 10A H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/4/2015,185,,S2540-39427/R,Y PT,0700EE2818,,,70,H225,BOX 19A H,M,adult,S banded as chick 2013 box 14,,,,BOX 12A H,,BOX 9A H,BOX 19A H,N,Y,Y,N,,N,Y,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,F1H-F4H 9/15,,,
H,7/5/2015,186,,LG/LB,R PT,0700EDF133,,,67,H226,BOX 19A H,F,adult,,,,,,,,BOX 19A H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/6/2015,187,,LG/Black,R PT,0700EE2255,,,71.5,H239,BOX 33 H,F,adult,,,,,,,,BOX 33 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/6/2015,187,,LG/O,R PT,0700ED93F8,0700ED8E2B,,72.5,H240,BOX 35 H,M,adult,,,,BOX 35 H,,,BOX 36 H,BOX 35 H,Y,Y,Y,Y,,Y,Y,Y,Y,,Y-HEAR 3,Y-HEAR 3,F5H 10/02,,,,,
H,7/6/2015,187,,R PT,Y/S2440-29336,0700EDE52B,,,71.5,H238,BOX 33 H,M,adult,S banded at H (no box #) as chick 2006!!!,S not in our database!,,,,,,BOX 33 H,N,N,Y,Y,,N,N,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,,Y- 12/7/2016 F3H,,
H,7/7/2015,188,,LG/Grey,R PT,0700EDC3CB,,,73.5,H259,STUMP NEST H,M,adult,,,,BOX 34 H,BOX 15 H,,,STUMP NEST H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/7/2015,188,,LG/Y,R PT,0700EDA11E,,,66,H284; H773,BOX 34 H,F,adult,,,,BOX 33-2 H,BOX 33 H,BOX 34 H,BOX 34 H,BOX 34 H,Y,Y,Y,Y,,Y,Y,Y,Y,,Y-HEAR 1; HEAR 3,,,,,Y-12/19/2016 F5H,,
H,7/7/2015,188,,R PT,LB/LG,0700EE2926,,,70.5,H261,BOX 38 H,F,adult,,caught at box 38 but not breeding there,,,,,,STUMP NEST H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/8/2015,189,,R PT,Black/LG,0700EDBDD9,,,69,H285,BOX 29 H,F,adult,,,,,,,,BOX 29 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,7/13/2015,194,,R PT,O/LG,0700EDA7DC,,,70,H317,BOX 36 H,M,adult,,,,,,,,BOX 36 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,8/21/2015,233,,Black/LG,R PT,0700EE34A2,,11.67,67,H337,F3H,M,adult,,Adult. Caught with Blue/Grey;R PT (030001E598),,,BOX 21A H,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,8/21/2015,233,,LB/LG,R PT,0700EE2DC4,,10.33,67,H335,F1H,F,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F2H 9/7/15,
H,8/21/2015,233,,R PT,Y/LG,0700EDEE35,,12.04,70,H332,F1H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F1H 9/7/15,
H,8/21/2015,233,,R PT,Grey/LG,0700EDDE6B,,12.3,72,H333,F1H,M,adult,,Adult. Caught with R PT; LB/LB (03000208C0),,,,BOX 18A H,BOX 8A H,,N,N,Y,Y,,N,Y,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,,,Y-F1H 9/21/15,
H,8/28/2015,240,,Blue/S2740-25271,R PT,0700ED8B2A,,10.9,69,H341,F3H,,juv,S banded as chick Box 14 in 2015,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,8/28/2015,240,,R PT,Y/LB,0700EDCA23,,11.59,69,H338,F3H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,Y-HEAR 3,,,,,F4H,,
H,8/28/2015,240,,R PT,Y/Black,0700EE33B0,,10.4,70,H339,F4H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,8/28/2015,240,,R PT,Y/O,0700EDEA8D,,12.67,74.5,H340,F3H,M,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,Y-HEAR 3,,,,,,,
H,9/7/2015,250,,Black/Y,R PT,0700EE279F,,13.07,70,H359,F1H,,juv,,Juvie?,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,Grey/Y,R PT,0700EE32F3,,11.38,71,H361,F1H,,adult,,DUPLICATE COLOR CODE. Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,Grey/Y,R PT,0700EDB014,,11.53,71,H362,F5H,,juv,,DUPLICATE COLOR CODE. Juvie. Caught with R PT;O/LB (0700EDE6F8) 9/7/15.,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,LB/Y,R PT,0700EDC234,,10.36,70,H358,F3H,,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F4H 9/11/15,
H,9/7/2015,250,,O/LB,R PT,0700EDE18E,,11.65,70,H367,F3H,,juv,,Juvie. Not much blood taken 9/7/15.,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,O/Y,R PT,0700EE3795,,11.77,66.5,H360,F1H,F,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,R PT,Y/Grey,0700EDA4FD,,12.22,67,H345,F5H,F,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,R PT,LB/Y,0700EDBC15,,11.07,68.5,H351,F1H,,juv,,Juvie,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,Y - F1H 10/7; F7H 11/4,
H,9/7/2015,250,,R PT,Black/Y,0700EDB060,,11.26,70,H353,F5H,F,adult,,Adult. Low amounts of blood collected 9/7/15.,,,,,BOX 36 H,,N,N,Y,Y,,N,N,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,,,Y - F5H 10/2,
H,9/7/2015,250,,R PT,O/Y,0700EE2A8F,,11.96,75,H355,F4H,M,adult,,Adult??,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,R PT,Grey/Y,0700EE2B86,,11.15,67.5,H356,F4H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,9/7/2015,250,,R PT,O/LB,0700EDE6F8,,11.47,65,H363,F5H,F,adult,,Adult. Caught with G/Y;R PT (0700EDB014),,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,Y - 10/2 at F5H,
H,9/7/2015,250,,R PT,O/Black,0700EE15A1,,11.79,70.5,H364,F1H,,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,R PT,O/Grey,0700EE0D9E,,11.43,69,H366,F4H,,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,R/S2740-25205,Grey PT,0700EDD0DB,,11.59,72,H354,F5H,,juv,S banded 2015 as chick from box 13,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,9/7/2015,250,,R/S2740-25211,Black PT,0700EDFEDD,,10.03,65.5,H357,F3H,F,juv,S banded as chick 2015 from box 1,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,S2740-25433,Grey PT,0700EDDA56,,11.41,70,H352,F2H,,juv,S banded as chick 2015 from box 24,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F1H 9/11/15,
H,9/7/2015,250,,Y/Black,R PT,0700EDF72F,,11.8,70,H347,F4H,,juv,,Juvie. Possible pair with Y/LB;R PT(0700EE1D05) 9/7/15.,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/7/2015,250,,Y/Grey,R PT,0700EDF523,,10.78,67,H350,F1H,F,juv,,Juvie,,,,,BOX 4 H,,N,N,N,N,,N,N,N,Y,,Y-HEAR 1,Y-HEAR 1,,,,,,
H,9/7/2015,250,,Y/LB,R PT,0700EE1D05,,12.45,74,H346,F4H,M,adult,,Adult. Possible pair with Y/Black;R PT (0700EDF72F) 9/7/15.,,,,,,,N,N,N,Y,,N,N,Y,Y,,,,,,,,Y-F4H 9/11/15,
H,9/7/2015,250,,Y/O,R PT,0700EDD70A,,10.45,71.5,H349,F1H,,adult,,KILLED LATE 2015 Adult,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,9/11/2015,254,,O/Black,R PT,0700EDC317,,12.43,70,H370,F2H,,juv,,Juvie; female?,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/11/2015,254,,O/Grey,R PT,0700ED8EA0,,12.11,73,H373,F3H,M,juv,,DUPLICATE COLOR CODE. Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/11/2015,254,,O/Grey,R PT,0700EDEF65,,11.23,70.5,H376,F5H,,adult,,DUPLICATE COLOR CODE. Adult. Caught with S2740-25258/R;Black PT(0700EDFC56) 9/11/15.,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/11/2015,254,,R PT,LB/O,0700EE0389,,11.56,70,H378,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,Y-HEAR 3,,,,,,,
H,9/11/2015,254,,R PT,Black/O,0700EE22CA,,11.16,69,H379,F4H,,adult,,Adult,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,9/11/2015,254,,R PT,Grey/O,0700ED8CFC,,11.63,67,H380,F2H,F,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/11/2015,254,,S2740-25258/R,Black PT,0700EDFC56,,12.31,73,H375,F5H,M,juv,S banded as chick 2015 from box 22-1,Juvie. Caught with O/Grey; R PT (0700EDEF65) 9/11/15.,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/21/2015,264,,Black/O,R PT,0700EDA539,,12.3,69,H382,F6H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/21/2015,264,,Grey/O,R PT,0700EDE2C7,,11.88,69.5,H384,F2H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,9/21/2015,264,,LB/O,R PT,0700EDE73A,,12.12,68,H381,F2H,F,adult,,Adult; vladimir pulled tail off 10/7/15,,,,BOX 7 H,BOX 7 H,,N,N,Y,Y,,N,N,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,F1H 11/17,,Y - F2H 10/7; F2H 10/30,
H,9/21/2015,264,,R PT,LB/Black,0700EE124B,,11.35,66,H385,F2H,F,juv,,Juvie; DUPLICATE COLOR CODE,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,10/2/2015,275,,R PT,LB/Black,0700EDDBF7,,11.77,71,H388,F6H,,juv,,Juvie; DUPLICATE COLOR CODE,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,10/7/2015,280,,Black/LB,R PT,0700EDDC13,,12.33,70.5,H392,F2H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,10/7/2015,280,,LB/Black,R PT,0700EDD008,,11.97,71.5,H390,F3H,,juv,,Juvie,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,10/7/2015,280,,LB/Grey,R PT,0700EDB530,,11.16,70.5,H391,F4H,,,,carrie pulled tail off,,,,,,,N,N,N,Y,,N,N,N,Y,,Y-HEAR 3,Y-HEAR 3,,,,,Y-F3H 10/30; F4H 11/11,
H,10/7/2015,280,,R PT,LB/Grey,0700EE17A2,,10.7,68.5,H389,F2H,,adult,,Adult,,,,,,,N,N,N,Y,,N,N,N,Y,,Y-HEAR 1,,,,,,,
H,10/7/2015,280,,S2740-25380/W,R PT,0700ED99E7,,11.89,69,H394,F1H,,juv,S banded as chick 2015 from box 32,Juvie,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,10/7/2015,280,,S2740-25442,PURPLE PT,0700EDB0B1,,12.57,68.5,H395,F3H,,juv,S banded as chick 2015 from box 28,Juvie,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,10/30/2015,303,,Black/Grey,R PT,0700EE4360,,12.29,73,H402,F1H,M,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,10/30/2015,303,,Grey/Black,R PT,0700EDE177,,11.78,72,H401,F1H,F,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,10/30/2015,303,,Grey/LB,R PT,0700EDB9DA,,11.86,70.5,H397,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,10/30/2015,303,,R PT,Grey/LB,0700EE1FD2,,11.85,74.5,H396,F1H,M,,,Didn't fly right away at TOIC,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,10/30/2015,303,,R PT,Grey/Black,0700EDFB86,,11.82,74.5,H398,F3H,M,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,Y-F2H 11/4,
H,10/30/2015,303,,R PT,W/Black,0700EDBF75,,11.34,75,H399,F3H,M,,,formerly duplicate R PT; Black/grey; rebanded 11/11/15,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F4H 11/11,
H,10/30/2015,303,,R PT,Black/Grey,0700EDAD5E,,11.37,71,H400,F5H,,,,DUPLICATE COLOR CODE,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/4/2015,308,,Y PT,R,0700EE3FC8,,,70,,F8H,,,,caught with R PT;B/R (0700EE0490) at TOIC,,,,,,,N,N,N,Y,,N,N,N,Y,,Y-HEAR 1,,,,,,,
H,11/4/2015,308,,Y PT,R/R,0700EDAC35,,,69,,F1H,,adult,,Adult,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/4/2015,308,,Y PT,R/O,0700EDAEBA,,,72,,F7H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/4/2015,308,,Y PT,R/Y,0700EE1AE8,,,72,,F7H,,adult,,Adult??,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/4/2015,308,,Y PT,R/Blue,0700EE452C,,,73,,F7H,M,juv,,juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/4/2015,308,,Y PT,R/LB,0700EE1435,,,68,,F1H,,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/4/2015,308,,Y PT,R/G,0700EDF2B7,,,70,,F1H,,adult,,Adult??,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/4/2015,308,,Y PT,R/Black,0700EDFB4E,,,71,,F7H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,Black/R,Y PT,0700EDB409,,,71,,F3H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,Y - F3 11/11,
H,11/6/2015,310,,Blue/R,Y PT,0700EDAB25,,,70,,F3H,,juv,,Juv.,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,G/R,Y PT,0700ED860D,,,74,,F3H,M,juv,,Juv;,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,Grey/R,Y PT,0700EE15A3,,,71,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,LB/R,Y PT,0700EDBFD5,,,69.5,,F3H,,,,Tail lost at TOIC. ,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,O/R,Y PT,0700EE2640,,,68,,F3H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,PURPLE PT,S2740-25241,0700EDF415,0700EDB878,,70,H774,F5H,F,juv,S banded as nestling 2015 from box 33-4,Box 33-4 nestling. Re tagged 6/24/18 old PIT (0700EDB878),,BOX 33-5 H,BOX 33-5 H,,,,Y,Y,Y,N,,Y,Y,Y,Y,,Y-HEAR 1; HEAR 3,Y-HEAR 1; HEAR 3,,,F3H 12/13,,,
H,11/6/2015,310,,R,Y PT,0700EE39B9,,,65,,F3H,F,juv,,Juv; captured with  R/Grey;Y PT (0700EE4575).  ,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,R/Black,Y PT,0700EDB484,,,71,,F3H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,R/Blue,Y PT,0700EE1981,,,66,,F4H,F,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,R/G,Y PT,0700EDF31F,,,71,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,R/Grey,Y PT,0700EE4575,,,72,,F3H,,adult,,Adult; Êcaptured with R;Y PT (0700EE39B9) at TOIC.,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,R/LB,Y PT,0700EDFEC0,,,69,,F4H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,R/O,Y PT,0700EE11BC,,,72.5,,F4H,,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,R/R,Y PT,0700EDAEF6,,,70,,F4H,,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,R/Y,Y PT,0700ED8635,,,74,,F4H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F4H 11/11,
H,11/6/2015,310,,Y PT,R/Grey,0700EE1854,,,66,,F4H,F,,,Detected at LOW F2014/W15,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,Y PT,O/R,0700EDF3AC,,,66,,F3H,F,juv,,Juv.; detected at LOW and HIGH arrays F2015/W16,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,Y PT,Y/R,0700EDF6A7,,,71,,F3H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,Y PT,Blue/R,0700EDA4AA,,,71,,F5H,,adult,,Adult,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,Y-F3H 11/11,
H,11/6/2015,310,,Y PT,LB/R,0700ED953B,,,75,,F4H,M,,,WAS RESIGHTED AT LEAR8 2/8/16; was subordinate to other birds at feeder. Not recorded at LEAR 8 before 1/28/16 or any other arrays before then,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,Y PT,G/R,0700EDFFA8,,,75,,F4H,M,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,Y PT,Black/R,0700EDC6D8,,,72,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/6/2015,310,,Y PT,Grey/R,0700EE17DB,,,73,,F3H,M,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/6/2015,310,,Y/R,Y PT,0700ED92A0,,,73,,F3H,M,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,R,0700ED9AF5,,,73,,F1H,M,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,R/R,0700EDCE8C,,,73.5,,F1H,M,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,R/O,0700EDD7F7,,,70,,F2H,,,,captured w BLUE PT; R/Y,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,R/Y,0700EE1B3E,,,70.5,,F2H,,,,captured w BLUE PT; R/O,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,R/Blue,0700EE013A,,,73,,F4H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,315,,B PT,R/LB,0700ED98EA,,,72,H688; H719,F4H,M,juv,,Juv,,,BOX 28-2 H,,,,N,N,N,N,,N,Y,Y,N,,,Y-HEAR 3,,,F4H 9/8; F4H 9/15,,,
H,11/11/2015,315,,B PT,R/G,0700EDF0C7,,,69,,F3H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,315,,B PT,R/Black,0700EE255C,,,68,,F3H,,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,R/Grey,0700EDEB1F,,,75,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,315,,B PT,O/R,0700ED9E68,,,70,,F2H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,Y/R,0700EDE290,,,68,,F2H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,315,,B PT,Blue/R,0700EDF35B,,,73,,F1H,M,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,315,,B PT,LB/R,0700EDDCA8,,,71,,F1H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,315,,B PT,G/R,0700EDA765,,,71.5,,F1H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
